wavelength [nm],transmittance,reflectance
300,0.0441272,0.0578224
301,0.0423498,0.0606473
302,0.0405809,0.0626124
303,0.0383853,0.0649835
304,0.0363559,0.0680844
305,0.0346821,0.0721249
306,0.0331533,0.0765216
307,0.0324473,0.0814818
308,0.0320302,0.0864389
309,0.0325314,0.0915847
310,0.0336057,0.096662
311,0.0355744,0.10167
312,0.0384033,0.106647
313,0.0420994,0.111375
314,0.0468441,0.116041
315,0.0524078,0.120365
316,0.0590165,0.12444
317,0.066378,0.128258
318,0.0744521,0.131416
319,0.0833152,0.13465
320,0.0921171,0.136677
321,0.101935,0.139171
322,0.110706,0.140179
323,0.120398,0.141451
324,0.128909,0.141897
325,0.13668,0.141246
326,0.144515,0.140787
327,0.148579,0.137628
328,0.150226,0.131911
329,0.136731,0.116157
330,0.0414804,0.0440651
331,0.0522742,0.10751
332,0.0602836,0.111832
333,0.0552363,0.100601
334,0.0724526,0.121231
335,0.0840203,0.133276
336,0.0928458,0.13686
337,0.102605,0.138379
338,0.113317,0.139653
339,0.124644,0.141198
340,0.137118,0.144026
341,0.149571,0.147925
342,0.159843,0.151516
343,0.168515,0.154704
344,0.17782,0.158836
345,0.186584,0.164295
346,0.18663,0.16936
347,0.115845,0.148714
348,0.0965813,0.107862
349,0.128448,0.153485
350,0.130249,0.142301
351,0.149212,0.145947
352,0.160927,0.155977
353,0.168376,0.161926
354,0.174468,0.166148
355,0.178646,0.170854
356,0.177418,0.17678
357,0.156233,0.180855
358,0.0414506,0.128618
359,0.0482203,0.10983
360,0.0685522,0.142942
361,0.0553728,0.112076
362,0.0673613,0.113986
363,0.078673,0.130258
364,0.0860301,0.137776
365,0.0933389,0.140683
366,0.102874,0.144562
367,0.115022,0.154212
368,0.122375,0.174966
369,0.0314068,0.144785
370,0.0174195,0.0921332
371,0.0350205,0.123593
372,0.0247407,0.102344
373,0.0264424,0.092479
374,0.0316331,0.0996923
375,0.0347062,0.1039
376,0.0366138,0.103304
377,0.038498,0.100267
378,0.0409377,0.0966579
379,0.044016,0.0935102
380,0.047583,0.0912088
381,0.0514535,0.0897693
382,0.0554892,0.0890536
383,0.0596002,0.088877
384,0.0637439,0.0890862
385,0.0678941,0.0895568
386,0.0720411,0.0902134
387,0.0761811,0.0910168
388,0.0802942,0.091937
389,0.0843839,0.0929933
390,0.0884248,0.0941889
391,0.0924023,0.0955522
392,0.0962899,0.0971087
393,0.100059,0.0988899
394,0.103681,0.100934
395,0.107101,0.103262
396,0.110269,0.105917
397,0.11313,0.108951
398,0.115577,0.112394
399,0.117513,0.116323
400,0.1188,0.120825
401,0.11927,0.126026
402,0.118707,0.132101
403,0.116813,0.13931
404,0.113098,0.148013
405,0.106644,0.158778
406,0.0954454,0.172524
407,0.0744008,0.190354
408,0.0311095,0.206943
409,0.00649733,0.152219
410,0.0439226,0.158793
411,0.041038,0.16848
412,0.0417906,0.146908
413,0.0547596,0.138264
414,0.060661,0.147922
415,0.0631428,0.154459
416,0.0654965,0.155535
417,0.0688243,0.153168
418,0.0733404,0.149149
419,0.0787463,0.144945
420,0.0845749,0.141569
421,0.0904525,0.139437
422,0.0961769,0.138442
423,0.101636,0.138252
424,0.106728,0.138656
425,0.111375,0.139666
426,0.115615,0.141306
427,0.119615,0.143346
428,0.123531,0.145348
429,0.127392,0.147045
430,0.131106,0.148575
431,0.134664,0.150251
432,0.138201,0.152067
433,0.141839,0.15365
434,0.145517,0.1548
435,0.149077,0.155823
436,0.152525,0.157093
437,0.156022,0.15845
438,0.159611,0.159461
439,0.163114,0.160189
440,0.166408,0.161139
441,0.169642,0.162385
442,0.17295,0.163423
443,0.176163,0.164131
444,0.179078,0.165056
445,0.181851,0.166386
446,0.184667,0.167546
447,0.187323,0.168389
448,0.189592,0.169561
449,0.191678,0.171152
450,0.19376,0.172475
451,0.195546,0.173607
452,0.196839,0.175288
453,0.197963,0.17725
454,0.198972,0.178815
455,0.199397,0.18057
456,0.199256,0.183083
457,0.198924,0.185515
458,0.198035,0.187753
459,0.196077,0.190953
460,0.193346,0.194827
461,0.189718,0.198574
462,0.183955,0.203661
463,0.175113,0.211311
464,0.161711,0.221277
465,0.138315,0.237351
466,0.104041,0.258146
467,0.12761,0.23901
468,0.144573,0.242376
469,0.139564,0.242459
470,0.139972,0.237927
471,0.1469,0.235836
472,0.150848,0.240724
473,0.153159,0.24405
474,0.154955,0.244886
475,0.157177,0.243738
476,0.159296,0.241818
477,0.161708,0.2397
478,0.164801,0.236971
479,0.167481,0.234507
480,0.169894,0.232831
481,0.172221,0.23122
482,0.173633,0.230491
483,0.174766,0.230494
484,0.175737,0.230237
485,0.175987,0.230771
486,0.176376,0.231166
487,0.176591,0.23091
488,0.175958,0.231543
489,0.17473,0.231498
490,0.168703,0.234258
491,0.142448,0.252589
492,0.124966,0.263814
493,0.142481,0.259567
494,0.147035,0.257907
495,0.140582,0.259723
496,0.137898,0.260626
497,0.138433,0.263322
498,0.140859,0.265466
499,0.142465,0.266456
500,0.143302,0.26612
501,0.143848,0.265382
502,0.14368,0.264537
503,0.143882,0.263441
504,0.143681,0.262554
505,0.143665,0.261483
506,0.143623,0.260818
507,0.143368,0.259982
508,0.143406,0.259544
509,0.143072,0.258992
510,0.143147,0.258479
511,0.142978,0.258049
512,0.143185,0.257041
513,0.143415,0.256341
514,0.144007,0.254422
515,0.144928,0.252716
516,0.146374,0.249299
517,0.148614,0.245108
518,0.151573,0.238783
519,0.154926,0.229458
520,0.145283,0.227079
521,0.119048,0.240137
522,0.123571,0.251014
523,0.131757,0.249912
524,0.130713,0.242292
525,0.122757,0.243316
526,0.119465,0.248265
527,0.118438,0.254861
528,0.119788,0.259014
529,0.119771,0.259462
530,0.120595,0.258867
