wavelength [nm],transmittance,reflectance
531,0.119883,0.256974
532,0.119815,0.255808
533,0.118513,0.254188
534,0.11778,0.25363
535,0.116157,0.252919
536,0.115012,0.253192
537,0.113254,0.253469
538,0.11188,0.254536
539,0.110098,0.255676
540,0.108606,0.257318
541,0.106845,0.259039
542,0.105325,0.261012
543,0.103614,0.263032
544,0.102128,0.265116
545,0.100461,0.267181
546,0.0990402,0.269223
547,0.0974031,0.271174
548,0.0960725,0.273131
549,0.0944345,0.274865
550,0.0931994,0.276737
551,0.0915319,0.278208
552,0.0903947,0.280052
553,0.08867,0.281228
554,0.0876266,0.283124
555,0.0858261,0.283983
556,0.0848519,0.285976
557,0.0829892,0.286567
558,0.0820523,0.288698
559,0.0801401,0.289024
560,0.0791989,0.291322
561,0.0772873,0.29148
562,0.0762693,0.293857
563,0.0744268,0.294006
564,0.0732554,0.296311
565,0.0715549,0.29667
566,0.0701648,0.298702
567,0.0686617,0.299522
568,0.0670178,0.301044
569,0.0657197,0.302528
570,0.0638598,0.303433
571,0.0627141,0.305676
572,0.0607292,0.305956
573,0.0596055,0.308754
574,0.0576649,0.308773
575,0.0564142,0.311713
576,0.0546725,0.311987
577,0.0531737,0.314447
578,0.0517213,0.315587
579,0.0499637,0.317053
580,0.0487558,0.319377
581,0.046866,0.319757
582,0.0457329,0.32302
583,0.0439369,0.322907
584,0.0426644,0.326198
585,0.041158,0.326662
586,0.0396367,0.328886
587,0.0384513,0.330822
588,0.036769,0.331447
589,0.0357375,0.334821
590,0.0341388,0.334476
591,0.0330123,0.338046
592,0.031724,0.338344
593,0.0303819,0.340456
594,0.0294119,0.342651
595,0.0279818,0.342694
596,0.0271167,0.34646
597,0.0258744,0.345779
598,0.0248707,0.348985
599,0.023976,0.349892
600,0.0228219,0.350644
601,0.0221482,0.353934
602,0.021086,0.352841
603,0.0203642,0.356529
604,0.0196202,0.35643
605,0.0187513,0.357626
606,0.0182741,0.360428
607,0.017454,0.358979
608,0.0169766,0.362773
609,0.0164536,0.362063
610,0.0158458,0.363142
611,0.0155896,0.365773
612,0.0150354,0.363764
613,0.01478,0.367436
614,0.0145223,0.36652
615,0.0141504,0.366787
616,0.014131,0.36969
617,0.0138549,0.36692
618,0.0137977,0.370065
619,0.0138333,0.369585
620,0.0136817,0.368259
621,0.0138907,0.371687
622,0.0139146,0.36837
623,0.0140227,0.370053
624,0.0143639,0.370912
625,0.0144423,0.367434
626,0.0148364,0.37089
627,0.0152053,0.368214
628,0.0154536,0.366934
629,0.0160707,0.369647
630,0.0164508,0.364661
631,0.0169507,0.366117
632,0.0176997,0.365986
633,0.0181444,0.360845
634,0.0189202,0.363923
635,0.0197385,0.360222
636,0.0203251,0.356667
637,0.0213601,0.359479
638,0.0222362,0.352743
639,0.0230341,0.351513
640,0.0243069,0.352251
641,0.0252708,0.343561
642,0.0263294,0.344396
643,0.0278531,0.341751
644,0.028968,0.332183
645,0.0303356,0.334234
646,0.0321919,0.327209
647,0.0335398,0.317314
648,0.0352982,0.319389
649,0.0377045,0.306742
650,0.0394087,0.29633
651,0.0417558,0.296819
652,0.0452563,0.27547
653,0.0475754,0.262938
654,0.0510888,0.258263
655,0.0574326,0.216651
656,0.0613676,0.194419
657,0.0684019,0.162828
658,0.0841624,0.00191615
659,0.0763926,-0.0514072
660,0.0470438,0.135797
661,0.0368465,0.246696
662,0.0514894,0.182307
663,0.0665022,0.0595316
664,0.0633762,0.0190144
665,0.0552951,0.048477
666,0.0445782,0.141425
667,0.0347683,0.226135
668,0.0321846,0.249671
669,0.033724,0.242559
670,0.0340569,0.238951
671,0.0363573,0.222033
672,0.039761,0.198624
673,0.0403535,0.1862
674,0.0419474,0.167003
675,0.0448733,0.145123
676,0.0450055,0.136636
677,0.0453202,0.125523
678,0.0474168,0.113101
679,0.0474399,0.114834
680,0.0467582,0.117553
681,0.0478659,0.117771
682,0.0480323,0.12868
683,0.0469355,0.142237
684,0.0470906,0.150836
685,0.0473584,0.164141
686,0.0463836,0.180794
687,0.0459052,0.191869
688,0.0461551,0.202423
689,0.045622,0.216698
690,0.0449405,0.227168
691,0.0450837,0.233749
692,0.0450611,0.243593
693,0.0445549,0.252671
694,0.0445849,0.256405
695,0.0449658,0.261711
696,0.0448773,0.269209
697,0.0448617,0.271753
698,0.0454446,0.273264
699,0.0458741,0.278857
700,0.0459766,0.281565
701,0.0465644,0.280548
702,0.0474591,0.283729
703,0.0479141,0.287262
704,0.0484262,0.285404
705,0.0495718,0.285729
706,0.0505649,0.289728
707,0.0511253,0.28881
708,0.0522361,0.286468
709,0.0537688,0.289718
710,0.0546983,0.290993
711,0.0556036,0.287203
712,0.0573958,0.288135
713,0.0590281,0.291642
714,0.0599147,0.288633
715,0.0615022,0.28623
716,0.0638371,0.290337
717,0.0652732,0.2904
718,0.0664045,0.285316
719,0.0688933,0.287129
720,0.0714007,0.291002
721,0.0725381,0.286156
722,0.0743806,0.283024
723,0.0777167,0.288463
724,0.0799073,0.28771
725,0.080924,0.279368
726,0.0838674,0.281131
727,0.0876064,0.286225
728,0.0888944,0.276344
729,0.09008,0.26723
730,0.0939538,0.274021
731,0.0962319,0.26828
732,0.0943338,0.237435
733,0.0939937,0.226302
734,0.0894262,0.219698
735,0.0486839,0.0846417
736,-0.0350527,-0.198007
737,-0.0407326,-0.1728
738,0.00843326,0.0413323
739,0.045798,0.187625
740,0.05461,0.197752
741,0.0262491,0.0401473
742,-0.00496308,-0.109752
743,-0.00216506,-0.0925313
744,0.0128219,-0.0132477
745,0.0244193,0.0679192
746,0.0308549,0.136177
747,0.034249,0.174647
748,0.0367917,0.179512
749,0.0390671,0.16913
750,0.0398438,0.160168
751,0.0384778,0.146995
752,0.0361759,0.122312
753,0.0339295,0.0957345
754,0.0310102,0.076508
755,0.0269778,0.0569764
756,0.0234033,0.0322116
757,0.0217977,0.0126905
758,0.0211031,0.00441733
759,0.01988,-0.0018296
760,0.019167,-0.0100617
761,0.0203992,-0.0120789
762,0.0224358,-0.00531718
763,0.0235571,0.00200702
764,0.0243374,0.00684881
765,0.0260916,0.0147587
766,0.0282544,0.0273293
767,0.029492,0.0391357
768,0.0300372,0.047978
769,0.0310124,0.0573719
770,0.0323737,0.0689189
771,0.0331563,0.0796088
772,0.0332781,0.0876588
773,0.0335906,0.0949753
774,0.0343558,0.103213
775,0.0348872,0.1111
776,0.0348634,0.117087
777,0.034856,0.121785
778,0.0353012,0.126721
779,0.0357633,0.131868
780,0.0357757,0.135955
781,0.0356435,0.138588
782,0.0358924,0.140944
783,0.0363389,0.143885
784,0.0364554,0.146568
785,0.0362872,0.147867
786,0.0363685,0.148401
787,0.0367729,0.149616
788,0.0370037,0.151295
789,0.036863,0.151912
790,0.0367971,0.151328
791,0.0371125,0.151205
792,0.0374393,0.152098
793,0.0373814,0.152478
794,0.0372027,0.151384
795,0.0373808,0.150255
796,0.0377638,0.150429
797,0.0378417,0.150815
798,0.037618,0.149752
799,0.0376273,0.147985
800,0.0380007,0.147422
