wavelength [nm],transmittance,reflectance
585,0.0407041,0.0329613
586,0.0384966,0.0307033
587,0.0405731,0.0329118
588,0.0391361,0.0316317
589,0.0396992,0.0321237
590,0.0402786,0.0330261
591,0.0387683,0.0313476
592,0.041111,0.0340097
593,0.0386237,0.0314672
594,0.0405948,0.0336011
595,0.0396297,0.032791
596,0.0393743,0.0324567
597,0.0409368,0.0343754
598,0.0385761,0.0318329
599,0.0412031,0.0347896
600,0.0392261,0.0327985
601,0.0400256,0.0336548
602,0.0408418,0.0347736
603,0.0387689,0.0324915
604,0.0415945,0.0357547
605,0.0391192,0.0331407
606,0.0404503,0.0346432
607,0.0409186,0.0353749
608,0.0388821,0.0331083
609,0.0419117,0.0366606
610,0.0392391,0.0337683
611,0.0405862,0.0353369
612,0.0413428,0.0363884
613,0.0388957,0.0336334
614,0.0422331,0.037592
615,0.0397076,0.0348212
616,0.0404128,0.0356863
617,0.0421753,0.0379054
618,0.0389395,0.034209
619,0.0423689,0.0383357
620,0.040749,0.0365857
621,0.0398652,0.0356106
622,0.0431905,0.0397044
623,0.0394416,0.0353529
624,0.0419107,0.0384015
625,0.0425614,0.0393396
626,0.0393333,0.0355481
627,0.0437729,0.0410535
628,0.0412067,0.0380646
629,0.0406589,0.0375103
630,0.0446425,0.0425458
631,0.0400785,0.0370407
632,0.0428526,0.0406145
633,0.0444434,0.0427384
634,0.0398425,0.0371193
635,0.0451758,0.0439764
636,0.0435927,0.042113
637,0.0407405,0.0386475
638,0.0471939,0.0470398
639,0.0426321,0.0413315
640,0.0426741,0.0415643
641,0.0488061,0.0496728
642,0.0419636,0.0409155
643,0.0454983,0.045744
644,0.0502661,0.0521992
645,0.0418356,0.041208
646,0.0492201,0.0512821
647,0.0519678,0.0551962
648,0.0422811,0.0423117
649,0.0544148,0.0590734
650,0.0549276,0.0601259
651,0.0433525,0.044312
652,0.0632105,0.0723815
653,0.0618425,0.0712574
654,0.0437999,0.0455244
655,0.0855878,0.107996
656,0.101726,0.139984
657,0.0480949,0.0677292
658,0.0221715,0.0123148
659,0.0630675,0.0622058
660,0.0374514,0.0385788
661,-0.0180457,-0.0292363
662,0.0151005,0.00886586
663,0.0436115,0.0410096
664,0.0340646,0.0259346
665,0.0343164,0.0287404
666,0.0341614,0.0315236
667,0.020746,0.014468
668,0.0201088,0.0158865
669,0.0210644,0.0207688
670,0.015302,0.0128339
671,0.0213375,0.018266
672,0.0261109,0.0249697
673,0.0206701,0.0181862
674,0.024147,0.0203373
675,0.0300719,0.026691
676,0.0256848,0.0215072
677,0.0259249,0.0212014
678,0.0315856,0.0271052
679,0.0288232,0.0237025
680,0.0265765,0.0214778
681,0.030948,0.0264369
682,0.0300623,0.0249597
683,0.0267332,0.0216543
684,0.0294251,0.0252855
685,0.0299502,0.0254322
686,0.0265927,0.0218097
687,0.0277053,0.0239858
688,0.0290761,0.0253659
689,0.0263195,0.0220297
690,0.0261985,0.0227955
691,0.0279637,0.0250231
692,0.0261644,0.0224915
693,0.0252426,0.0220146
694,0.0270355,0.0246385
695,0.0261697,0.0231857
696,0.0246718,0.0215807
697,0.0262493,0.0241046
698,0.0263992,0.0240742
699,0.0245578,0.0216705
700,0.0255606,0.0234065
701,0.0267079,0.0248883
702,0.0248717,0.022338
703,0.0248702,0.0225819
704,0.026897,0.0253165
705,0.0258253,0.0237516
706,0.0245169,0.0221374
707,0.0266397,0.0250118
708,0.0270728,0.0254555
709,0.0248029,0.022536
710,0.0258558,0.0239956
711,0.0281039,0.0267687
712,0.026184,0.0242642
713,0.0251344,0.0230539
714,0.0281933,0.0268572
715,0.0283529,0.026916
716,0.0254181,0.023361
717,0.0271131,0.0255331
718,0.0302289,0.0291879
719,0.0276354,0.0259767
720,0.025963,0.0241236
721,0.0303748,0.0294142
722,0.0313834,0.0304328
723,0.0269253,0.0251956
724,0.0285735,0.027332
725,0.0345694,0.0343001
726,0.0319432,0.0310788
727,0.0272773,0.0257975
728,0.0342804,0.0341694
729,0.0407231,0.0416023
730,0.0329214,0.0324654
731,0.0302955,0.0296105
732,0.0506269,0.0539505
733,0.0653442,0.0726126
734,0.0503096,0.0567026
735,0.0226103,0.0232407
736,0.0204248,0.015778
737,0.0337727,0.0288559
738,0.0259253,0.0228825
739,0.00120877,-0.000786504
740,-0.00321856,-0.00559284
741,0.0159792,0.0126742
742,0.0273634,0.0230962
743,0.0235506,0.0186781
744,0.0185905,0.0141701
745,0.017928,0.0146626
746,0.0143081,0.0117992
747,0.00905299,0.0065748
748,0.00994772,0.00754421
749,0.013449,0.0116737
750,0.0124993,0.0112685
751,0.0103522,0.00882505
752,0.0128916,0.0106531
753,0.0162091,0.013748
754,0.0152128,0.0129053
755,0.0133315,0.010821
756,0.0152622,0.0121662
757,0.0177452,0.0143177
758,0.0167542,0.0134108
759,0.0149903,0.0116987
760,0.0161591,0.0126623
761,0.0178601,0.0142065
762,0.0169414,0.0133826
763,0.0153498,0.0119357
764,0.0159448,0.0125342
765,0.017075,0.0136471
766,0.0163231,0.0129913
767,0.0149941,0.0118001
768,0.0152237,0.012117
769,0.0159158,0.0128848
770,0.0153126,0.0123786
771,0.0143046,0.011457
772,0.01442,0.0116574
773,0.014884,0.0122352
774,0.0144131,0.0118588
775,0.0136592,0.011137
776,0.0137487,0.0112759
777,0.0140986,0.0117491
778,0.0137395,0.0114871
779,0.0131689,0.0109043
780,0.0132588,0.010993
781,0.0135434,0.0113939
782,0.0132527,0.0112168
783,0.0128051,0.0107342
784,0.0129436,0.0108077
785,0.013256,0.0112022
786,0.013008,0.0110931
787,0.0125436,0.0106134
788,0.0126359,0.0105966
789,0.0130014,0.0109883
790,0.0128669,0.0110013
791,0.0123913,0.0105534
792,0.0123859,0.0104197
793,0.0127856,0.0107767
794,0.0128025,0.0109248
795,0.0123393,0.0105467
796,0.0121826,0.010281
797,0.0125534,0.0105437
798,0.0127356,0.010808
799,0.0123468,0.0105538
800,0.0120248,0.0101827
