wavelength [nm],transmittance,reflectance
300,0.177218,0.0275696
301,0.176014,0.0244986
302,0.175762,0.0245057
303,0.173163,0.0232673
304,0.172356,0.0225956
305,0.171469,0.021755
306,0.168848,0.0205502
307,0.169529,0.0202813
308,0.166133,0.0189171
309,0.166947,0.0190521
310,0.163957,0.0177473
311,0.164135,0.0180932
312,0.161716,0.0168793
313,0.16147,0.017409
314,0.159217,0.0161923
315,0.15907,0.0169892
316,0.156238,0.0156333
317,0.157046,0.016791
318,0.152922,0.0153225
319,0.155145,0.0166231
320,0.149727,0.0156204
321,0.152533,0.0161356
322,0.147909,0.0170135
323,0.148097,0.0154104
324,0.147977,0.0190131
325,0.1427,0.0167106
326,0.147284,0.0189011
327,0.1407,0.0250986
328,0.142827,0.0178181
329,0.130769,0.0203246
330,0.12919,0.00107713
331,0.118293,0.0181862
332,0.131002,0.010632
333,0.127175,0.0109307
334,0.121455,0.0117854
335,0.125797,0.0107713
336,0.124277,0.00973715
337,0.11866,0.0100486
338,0.120121,0.0106004
339,0.120806,0.0105173
340,0.115912,0.0101123
341,0.114313,0.0102679
342,0.11674,0.0112863
343,0.115224,0.0122896
344,0.110709,0.0123448
345,0.110859,0.0119818
346,0.115098,0.0129246
347,0.111483,0.00315149
348,0.104967,0.0110787
349,0.102445,0.00880986
350,0.101096,0.0106715
351,0.102504,0.0120448
352,0.102243,0.0122558
353,0.0995149,0.011613
354,0.0973179,0.0110348
355,0.0980978,0.0119599
356,0.10119,0.0160343
357,0.0986611,0.0222266
358,0.0841564,-0.0119769
359,0.088641,0.0131929
360,0.0867976,0.00727161
361,0.0813103,0.00875705
362,0.0792654,0.00860739
363,0.0794699,0.00804087
364,0.0808913,0.00825059
365,0.082494,0.00922711
366,0.083856,0.0110286
367,0.0850876,0.0143954
368,0.0867009,0.0241106
369,0.0694032,-0.00554031
370,0.0737186,0.00775643
371,0.0730592,0.0054923
372,0.0711582,0.00670912
373,0.0701637,0.00728529
374,0.0695661,0.00742173
375,0.0690667,0.00758493
376,0.0686178,0.00779553
377,0.0682612,0.00800377
378,0.0678398,0.0081827
379,0.0675081,0.00836023
380,0.0672178,0.00854144
381,0.0669489,0.0087314
382,0.0666334,0.00892596
383,0.0663816,0.00914289
384,0.0661082,0.00937318
385,0.0658738,0.0096275
386,0.0656107,0.00989842
387,0.0654305,0.0102048
388,0.0652743,0.01054
389,0.0651613,0.0109083
390,0.0650329,0.0112981
391,0.0649789,0.0117196
392,0.0649337,0.0121504
393,0.0649125,0.0125757
394,0.0648884,0.0129661
395,0.0648538,0.0132925
396,0.0647388,0.0135168
397,0.064581,0.0136404
398,0.0643511,0.0136879
399,0.0640706,0.0137533
400,0.0638131,0.014017
401,0.0636852,0.0147374
402,0.0638328,0.0162104
403,0.0643394,0.0186532
404,0.0651846,0.0220523
405,0.066162,0.0259678
406,0.0669442,0.0292652
407,0.0666548,0.0268208
408,0.0280286,0.0023909
409,0.0542838,0.0253622
410,0.0517509,0.00810243
411,0.0548269,0.00967546
412,0.0539193,0.00985409
413,0.053635,0.0101744
414,0.0521427,0.00991798
415,0.0514445,0.0110629
416,0.05229,0.012722
417,0.0535292,0.0133962
418,0.053975,0.0130446
419,0.0533757,0.0125123
420,0.0524741,0.0125742
421,0.0521732,0.0133654
422,0.0527632,0.0143894
423,0.0535758,0.0149417
424,0.0537953,0.0147831
425,0.0531697,0.0143663
426,0.0524095,0.0144627
427,0.0524557,0.0153329
428,0.0533137,0.0163155
429,0.053836,0.0165116
430,0.0532943,0.0160243
431,0.052407,0.0159446
432,0.0525201,0.0169086
433,0.0535259,0.018021
434,0.0538969,0.0180595
435,0.0530113,0.0174338
436,0.0523761,0.0177507
437,0.0531698,0.0191675
438,0.0541418,0.0199094
439,0.0535783,0.0192349
440,0.052558,0.0190257
441,0.0531016,0.0204964
442,0.0543562,0.0217062
443,0.0539124,0.0209932
444,0.0527135,0.0205453
445,0.0533875,0.0223107
446,0.0547419,0.0236841
447,0.053995,0.0225927
448,0.0528429,0.0223629
449,0.0540688,0.024868
450,0.0551664,0.0257714
451,0.0536701,0.0239669
452,0.0532378,0.0250796
453,0.0552834,0.0284036
454,0.0550799,0.0273449
455,0.053176,0.025821
456,0.0547492,0.0302088
457,0.0563157,0.0319546
458,0.0539205,0.0279996
459,0.0542481,0.0320007
460,0.0574556,0.038448
461,0.0552293,0.0321485
462,0.0541512,0.0351592
463,0.0597966,0.0539717
464,0.0570585,0.0380633
465,0.0414243,0.0886586
466,0.0368554,-0.00206458
467,0.0522164,0.0419383
468,0.0426393,0.0183474
469,0.0438021,0.0175715
470,0.0473649,0.0262238
471,0.0464003,0.0262914
472,0.0470479,0.0229927
473,0.0437923,0.0237078
474,0.045368,0.0254788
475,0.0458659,0.0241501
476,0.0448279,0.0259494
477,0.046821,0.0272725
478,0.0467818,0.0264918
479,0.0464184,0.0277955
480,0.0480079,0.0291694
481,0.0475707,0.0283692
482,0.0474195,0.0298621
483,0.0491345,0.0317346
484,0.0476794,0.0299257
485,0.04871,0.0336362
486,0.0502404,0.0348568
487,0.0476576,0.0323486
488,0.0531313,0.0443775
489,0.0503496,0.0363763
490,0.057712,0.0750365
491,0.0287265,0.0048464
492,0.0510707,0.0425543
493,0.0406691,0.0197667
494,0.0391896,0.0237861
495,0.0426334,0.0262005
496,0.0434833,0.0261404
497,0.0430998,0.028419
498,0.0418721,0.0251168
499,0.0414363,0.0268002
500,0.0419829,0.0269539
501,0.0414928,0.0264309
502,0.0429864,0.0291104
503,0.0421444,0.0269581
504,0.0437565,0.0300796
505,0.0430832,0.0284863
506,0.0440305,0.0301476
507,0.0441475,0.0306281
508,0.0439851,0.0300105
509,0.0451836,0.0328506
510,0.0439078,0.0302614
511,0.0461649,0.0349084
512,0.044212,0.0314407
513,0.0469896,0.0367364
514,0.0453272,0.0341607
515,0.0476564,0.0385262
516,0.0480153,0.0398824
517,0.0484417,0.0410567
518,0.056244,0.057482
519,0.0558904,0.0711958
520,0.0232782,0.00359167
521,0.0506165,0.0441026
522,0.0336086,0.015868
523,0.0354378,0.0244105
524,0.0354425,0.0215342
525,0.0411915,0.0288462
526,0.0384202,0.0244642
527,0.0371272,0.0252323
528,0.0367265,0.0236168
529,0.0355112,0.0241428
530,0.0372526,0.0248261
531,0.0360099,0.0246426
532,0.0381532,0.0259115
533,0.0367902,0.0250491
534,0.0389254,0.0266564
535,0.0374082,0.0253565
536,0.0393335,0.0271231
537,0.0377491,0.0256024
538,0.0394941,0.0274449
539,0.0378934,0.0258204
540,0.0394811,0.0276645
541,0.0379302,0.0260297
542,0.0394194,0.0278542
543,0.0378946,0.0262243
544,0.0393713,0.0280482
545,0.0378645,0.0264396
546,0.039315,0.0282239
547,0.0378209,0.0266542
548,0.0392981,0.0284094
549,0.0378157,0.0269014
550,0.0393122,0.0285949
551,0.0378314,0.0271695
552,0.0393498,0.0287724
553,0.037899,0.0274827
554,0.0393683,0.0289101
555,0.0380325,0.0278532
556,0.0392818,0.0289469
557,0.0382669,0.0283059
558,0.0391682,0.0289458
559,0.0385283,0.0287805
560,0.0389487,0.0288598
561,0.0389343,0.0293545
562,0.0386593,0.0287324
563,0.0393625,0.0299202
564,0.0384268,0.0286788
565,0.039753,0.0304126
566,0.0381898,0.0286748
567,0.0400166,0.0307476
568,0.0381542,0.0288898
569,0.0400675,0.0308535
570,0.0384191,0.0293988
571,0.0397873,0.0306526
572,0.0389352,0.0301409
573,0.0392963,0.0302759
574,0.0396434,0.0310215
575,0.0387201,0.0298794
576,0.0403017,0.0317911
577,0.0384873,0.0298562
578,0.0406146,0.0321686
579,0.0385229,0.0301799
580,0.0401332,0.0317966
581,0.0391801,0.0310942
582,0.0393886,0.0311638
583,0.0400782,0.0322006
584,0.0386595,0.0306151
